target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
473,202305,135,13,2 4 5 6 7 9 10 14 17 19 22 25 27,0.0002476498990882774,-29735.453828525857,6527
474,202306,137,13,2 4 5 6 7 9 10 14 17 19 22 25 27,0.0003280765303066057,-29738.694178184378,6546
475,202307,138,12,2 5 6 9 10 14 16 17 19 22 25 27,0.00040872710646398396,-29791.560758323343,6567
476,202308,144,15,2 3 4 5 6 7 9 10 14 16 17 19 22 25 27,0.00021583236413799268,-29806.0836776034,6587
477,202309,148,11,2 5 6 7 9 10 14 17 19 22 25,0.0009574728752411228,-29874.597895854207,6612
478,202310,149,15,2 5 6 7 9 10 14 15 16 17 18 19 22 25 27,0.000371064271463892,-30082.717754671143,6641
479,202311,152,11,2 5 6 7 9 10 14 15 17 22 25,0.000884937828522302,-30295.48768830599,6671
480,202312,154,17,2 3 4 5 7 9 10 12 14 15 17 18 19 20 22 25 27,1.2602578769088377e-06,-30198.174081246252,6704
481,202313,154,17,2 3 4 5 7 9 10 12 13 14 17 18 19 20 22 25 27,1.2967476395880934e-06,-30391.176837788404,6737
482,202314,158,13,2 5 7 9 10 14 17 18 19 20 22 25 27,0.0003881332553396286,-30937.16384907046,6772
483,202315,160,13,2 5 7 9 10 14 17 18 19 20 22 25 27,0.00023958871352271758,-31206.504881355824,6810
484,202316,162,13,2 5 7 9 10 14 17 18 19 20 22 25 27,0.00024220400706885712,-31319.33798841914,6848
485,202317,162,13,2 5 7 9 10 14 17 18 19 20 22 25 27,0.0002991683995325264,-31522.562909321234,6887
486,202318,164,11,2 5 7 9 10 14 17 18 20 22 25,0.0003711482914373199,-31764.83568500038,6925
487,202319,165,13,2 4 5 7 9 10 14 17 18 19 20 22 25,3.119650694859724e-05,-32024.979483601823,6964
488,202320,165,11,2 5 7 9 10 14 17 18 20 22 25,0.0005104970966118271,-32308.704122227955,7003
489,202321,168,13,1 2 5 7 9 10 14 17 18 19 20 22 25,0.0003560896711477127,-32659.90195543716,7044
490,202322,170,12,1 2 5 7 9 10 14 17 18 20 22 25,0.00020331992574968235,-32907.51122049201,7088
491,202323,170,11,1 5 7 9 14 16 17 18 20 22 25,0.00045013327358430985,-33783.16984208518,7133
492,202324,171,10,1 5 7 9 14 17 18 20 22 25,0.0004548319718410883,-34179.905663727885,7180
493,202325,171,12,1 5 7 9 10 14 17 18 19 20 22 25,0.00034295305893842587,-34482.08239599275,7228
494,202326,173,7,6 7 9 12 14 18 25,0.0008268308835072002,-34803.562289046335,7276
495,202327,174,10,1 5 7 9 10 12 14 18 20 25,0.0004319640687553587,-35005.90456567042,7326
496,202328,175,10,1 6 7 9 12 14 17 18 20 25,0.0005576478155500013,-35285.80376909162,7376
497,202329,175,9,5 7 9 12 14 16 18 20 25,0.0006947881081146664,-35567.25953474897,7427
498,202330,175,7,6 7 9 12 16 18 25,0.0007856329003273886,-35822.57796816855,7477
499,202331,176,12,1 6 7 9 12 13 16 17 18 20 24 25,0.0003587743812373622,-36333.96493419533,7527
500,202332,176,7,6 7 9 12 16 18 25,0.0008481397194787012,-36808.04332705401,7578
501,202333,177,9,6 7 9 13 16 17 18 20 25,0.0007045816644051444,-37130.92272714474,7630
502,202334,179,12,1 6 7 9 12 13 16 17 18 20 24 25,0.00021721730848505414,-37269.85378723264,7685
503,202335,179,7,7 9 13 16 18 22 25,0.0010613039843593616,-37588.67167071355,7735
504,202336,180,11,1 6 7 9 13 16 17 20 24 25 27,0.00022872500155992414,-37803.42680359608,7785
505,202337,177,4,9 13 22 25,0.0012237919429464077,-38145.67024251928,7833
506,202338,172,5,7 13 18 25 27,0.0010976325590378506,-38292.0147131131,7875
507,202339,179,5,7 13 22 25 27,0.0008910178693068747,-38617.081343555066,7917
508,202340,183,5,7 13 16 20 25,0.0007516043893178485,-38783.09384904825,7965
509,202341,184,3,7 13 25,0.0010707719949395473,-39038.657660018114,8016
510,202342,185,4,7 13 25 26,0.0009131722542163798,-39354.50198593033,8069
511,202343,181,3,13 20 25,0.000637170934779296,-39538.044050385266,8115
512,202344,195,4,13 18 22 25,0.0006585091550885627,-39795.228855371926,8163
513,202345,195,4,0 13 18 22,0.0008287643387781671,-39395.18669822058,8225
514,202346,198,1,22,0.002881609556311339,-39390.72362927151,8290
515,202347,199,4,13 16 18 22,0.0007544268185211174,-39909.63114014176,8357
516,202348,205,2,16 22,0.000640702953185278,-39499.90852160605,8426
517,202349,213,2,16 22,0.0014796915847083436,-39607.72389893307,8500
518,202350,212,3,16 18 22,0.0008576921457557886,-39748.40590907187,8578
519,202351,214,0,,0.004296942368569167,-39751.76289846563,8657
520,202352,215,0,,0.0029439710081639267,-39779.65482450172,8741
521,202401,214,0,,0.0037729917986174368,-39916.96635590771,8824
522,202402,215,0,,0.003016176308720714,-40172.51707659306,8906
523,202403,218,0,,0.004037688967556607,-40758.06505917669,8990
524,202404,219,0,,0.004640708744230416,-41144.690204001156,9074
525,202405,224,8,9 11 13 15 17 19 21 22,0.0007014890181982951,-41720.86769392911,9159
526,202406,224,8,9 13 15 16 17 19 21 22,0.000758880781938841,-42226.37210574046,9246
527,202407,228,11,9 10 13 15 16 17 19 21 22 24 26,0.00042839217587533544,-42703.5068354433,9332
528,202408,230,1,22,0.0028115637833140248,-42807.32559255052,9420
529,202409,228,9,9 13 15 17 19 20 21 22 24,0.0005318333280823959,-42941.907001668886,9502
530,202410,234,0,,0.0034559004606139402,-41861.29641723536,9582
531,202411,239,0,,0.004759665897373373,-41870.260897500884,9667
532,202412,248,0,,0.004381450380102547,-42182.193965759376,9754
533,202413,248,0,,0.0043998207017739805,-42414.23865970089,9848
534,202414,248,4,7 9 16 17,0.001648666617556082,-42535.637399575404,9941
535,202415,251,4,7 9 16 17,0.0017739474791180312,-42779.54571771119,10031
536,202416,253,6,7 9 11 16 17 20,0.0011798110437054572,-43140.559934376295,10122
537,202417,254,8,0 7 9 11 13 16 17 20,0.0014377198092839418,-43544.97479404197,10213
538,202418,256,5,7 9 11 16 17,0.0017193282750170096,-43954.18488809126,10304
539,202419,256,10,0 5 7 9 17 19 21 23 24 26,0.0003737356757738469,-44376.000529606645,10395
540,202420,255,12,0 5 7 9 13 16 17 19 21 23 24 26,0.00018352402299605868,-44790.35949948005,10486
541,202421,258,12,0 5 7 9 12 16 19 20 22 23 24 26,0.00019893682435779086,-45166.81573505069,10576
542,202422,260,6,0 7 9 17 19 23,0.0010756323594259625,-45374.746567905604,10666
543,202423,262,4,0 9 19 23,0.0011413385004673934,-45705.066484359995,10757
544,202424,260,4,9 11 19 23,0.001210324400007042,-46061.37524964719,10847
545,202425,261,6,5 9 11 19 21 23,0.0005970760563686558,-46437.07998120534,10935
546,202426,263,6,5 9 19 21 22 23,0.00044624618177232297,-46932.915491620755,11025
547,202427,264,5,5 9 19 21 23,0.0004658692213094413,-47447.18002085326,11115
548,202428,267,7,5 9 13 19 21 22 23,0.0003578734106312518,-47949.01550500351,11205
549,202429,267,9,5 7 9 13 17 19 21 22 23,0.0002297510606841619,-48382.965112385966,11295
550,202430,269,10,4 5 9 11 17 19 20 21 22 23,0.0003799231231379208,-48668.663953123316,11388
551,202431,269,5,5 8 9 17 23,0.0013228149201337546,-49082.55536520835,11482
552,202432,265,3,5 9 17,0.0014327763709575682,-49466.30342906185,11571
553,202433,266,3,5 9 17,0.0013073691143034886,-49851.288542655806,11662
554,202434,261,3,5 9 17,0.0014120277201449493,-50314.080161893595,11745
