week,cmkt_own,csmb_own,cmom_own,cmkt,csize,cmom
201809,0.09160801842866359,-0.013368925156176215,0.10621076265903398,0.093,-0.019,0.103
201810,-0.17601559403978992,-0.028983723315361087,-0.0046729287862231905,-0.176,-0.013,-0.013
201811,-0.19344590182052357,-0.04908211744877103,0.02501917595131839,-0.194,-0.033,0.039
201812,0.039475601396442114,0.03006145202779431,-0.17317313901062983,0.039,0.018,-0.164
201813,-0.22926067010076842,0.04640789433595163,0.0017740443591977573,-0.229,0.07,0.012
201814,0.04064022319976787,0.02372903605582896,-0.046251113320147766,0.04,0.008,-0.065
201815,0.2584025948939507,0.025242662751099376,0.00020536498004361525,0.258,0.022,-0.019
201816,0.15001926956658895,0.018262978047046685,-0.03549987714195657,0.15,0.186,0.035
201817,0.1251139081099638,0.007396791903142824,0.09697803274413119,0.124,-0.021,0.085
201818,0.0347322176616064,-0.051577619754090635,-0.029992923029191203,0.037,0.011,-0.011
201819,-0.1100462569750462,0.0038155288573029356,-0.024758948052745602,-0.11,0.012,-0.046
201820,-0.04390061207690983,0.03331621319332045,-0.024010506480253095,-0.043,0.063,-0.036
201821,-0.16733856870706273,-0.01651373585187893,0.009663087428226205,-0.167,0.003,0.019
201822,0.07479519677906458,-0.041437079455121324,-0.0575121041131926,0.075,-0.043,-0.058
201823,-0.15696714749735216,-0.028185177194000433,0.07062591191053781,-0.157,-0.035,0.055
201824,-0.06387188700198752,0.0038969069067816345,0.04515313589211577,-0.065,0.0,0.047
201825,-0.09678266644226162,0.002427369542126509,0.02505996962679112,-0.096,-0.008,0.043
201826,0.018617494944999993,-0.02966305618745036,-0.07912922181293083,0.018,-0.029,-0.082
201827,0.05783195435039052,-0.0055196309418570205,-0.05342249325659246,0.058,-0.03,-0.022
201828,-0.073727759106142,-0.014971222108011037,0.06985670688879816,-0.073,-0.023,0.061
201829,0.09871900161893105,-0.026418424730898157,0.045560166133606694,0.099,-0.027,0.058
201830,0.06160652111567314,-0.061368740617408706,0.013342116958436408,0.06,-0.063,0.039
201831,-0.13939679632957228,-0.03662931812793624,0.02469160063004687,-0.139,-0.051,0.016
201832,-0.1690302225840351,-0.0175825334925149,0.04433259635652047,-0.168,-0.022,0.063
201833,0.01402803551289468,-0.01819672930322809,-0.03880077430069806,0.013,-0.037,-0.067
201834,-0.008069629817616622,0.013573527569745671,-0.02751916706715301,-0.008,0.004,-0.031
201835,0.09990321583930845,0.01566035659946169,-0.012989079741346152,0.1,-0.001,-0.023
201836,-0.18043525229407417,-0.0259200981464055,0.055043623624989296,-0.18,-0.02,0.038
