target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
228,201820,665,11,5 7 10 12 15 17 19 21 25 26 27,0.0013495137546839233,-37385.708017000434,21841
229,201821,675,11,5 10 12 15 16 17 19 21 24 26 27,0.0011925770000635455,-38911.77330280624,22320
230,201822,682,11,5 7 10 12 15 17 19 21 24 26 27,0.0012356485171813106,-40298.11485857262,22793
231,201823,693,11,4 5 10 12 15 17 19 21 24 26 27,0.0007112527405004906,-42552.13465100138,23269
232,201824,696,12,4 5 8 10 12 15 17 19 21 24 26 27,0.0006274784406586257,-44250.95568045211,23726
233,201825,700,13,4 5 8 10 12 15 17 18 19 21 24 26 27,0.0003416133834340415,-45806.38584197518,24172
234,201826,691,11,5 8 10 12 15 17 19 21 24 26 27,0.0010894037530857139,-47308.19322021674,24611
235,201827,696,11,5 8 10 12 15 17 19 21 24 26 27,0.00042639949394961086,-48532.05199350386,25047
236,201828,708,9,5 10 12 15 19 21 24 26 27,0.0007604995555324268,-49986.94183634659,25476
237,201829,707,10,4 5 10 12 15 19 21 24 26 27,0.0006486505095333523,-51259.72013603433,25912
238,201830,728,12,5 6 8 10 12 15 17 19 21 24 26 27,0.0005172953562013039,-52626.25909514732,26349
239,201831,735,11,5 6 8 10 12 15 19 21 24 26 27,0.0004407568955782209,-53860.68608986479,26791
240,201832,738,10,5 6 10 12 15 19 21 24 26 27,0.0005224080338636762,-55232.009856832,27224
241,201833,717,12,5 6 7 10 12 15 19 21 22 24 26 27,0.00027671750476402425,-57046.31502300101,27635
242,201834,717,12,5 7 10 12 15 17 19 21 22 24 26 27,0.0004493315359069592,-58287.258919165404,28025
243,201835,732,12,5 6 7 10 11 12 15 19 21 24 26 27,0.0005090718364946059,-59591.2336217238,28422
244,201836,741,12,5 6 7 10 11 12 15 19 21 24 26 27,0.0007859727331626763,-61168.10295975025,28822
245,201837,721,11,6 7 10 11 12 15 19 21 24 26 27,0.0005894438174067809,-62484.5630549726,29191
246,201838,742,11,5 6 7 10 11 12 19 21 24 26 27,0.0006542572659097357,-63601.03475683073,29574
247,201839,762,12,5 6 7 10 11 12 15 19 21 24 26 27,0.00048279619250572384,-64824.55618879504,29977
248,201840,759,17,1 5 6 7 8 10 11 12 14 15 16 19 21 23 24 26 27,2.084479499257855e-06,-66282.05584753896,30395
249,201841,774,17,1 5 6 7 8 10 11 12 14 15 16 19 21 23 24 26 27,2.093539771327749e-06,-67413.77555049815,30801
250,201842,773,18,1 5 6 7 8 10 11 12 14 15 16 19 21 22 23 24 26 27,2.0433771123711793e-06,-68765.33841729356,31206
251,201843,791,14,5 6 7 10 11 12 15 16 19 21 22 24 26 27,0.0005276824288056661,-70000.52730271954,31609
252,201844,803,14,5 6 7 10 11 12 15 16 19 21 22 24 26 27,0.00034774819823758443,-71491.67231157879,32019
253,201845,810,18,5 6 7 8 9 10 11 12 15 16 18 19 21 22 23 24 26 27,1.116831345240629e-05,-72890.45917158596,32439
254,201846,816,15,5 6 7 8 11 12 15 16 19 21 22 23 24 26 27,1.8835667580906662e-06,-74179.86141938395,32847
255,201847,801,15,5 6 7 8 11 12 15 16 19 21 22 23 24 26 27,1.925115616625679e-06,-75877.33291076357,33216
256,201848,709,13,5 6 7 11 12 15 16 19 21 22 24 26 27,0.0006304463861911308,-77032.69766557463,33505
257,201849,712,12,5 6 7 11 12 15 16 19 21 24 26 27,0.0006395178383538226,-78556.36625390121,33760
258,201850,681,13,5 6 7 11 12 15 16 19 21 22 24 26 27,0.0003016649572382831,-80124.32978744734,33970
259,201851,667,12,6 7 11 12 15 16 19 21 22 24 26 27,0.00023206277434745023,-82351.68002843935,34131
260,201852,721,11,6 7 8 11 12 15 16 19 21 26 27,0.00019961113188077394,-83947.75360944802,34287
261,201901,697,16,5 6 7 8 9 11 12 13 14 15 16 19 21 22 26 27,0.0002018569177520881,-97837.83353401636,34454
262,201902,713,11,5 7 8 11 15 16 21 22 25 26 27,0.00031334155970135093,-115148.08026251629,34570
263,201903,698,13,2 5 7 8 9 11 15 16 21 22 24 26 27,0.0001545267551765488,-118370.79154107676,34624
264,201904,689,12,5 7 8 11 15 16 20 21 22 24 26 27,0.0002105744346074779,-118440.72119710903,34669
265,201905,677,11,5 7 11 15 16 20 21 22 24 26 27,0.00025188376250711024,-118948.02081999829,34700
266,201906,656,8,5 7 11 15 16 21 26 27,0.0005378546595597287,-119078.03814619433,34749
267,201907,679,9,5 7 11 15 16 21 24 26 27,0.00044005704387579643,-119272.04218778496,34781
268,201908,707,7,5 7 15 16 21 26 27,0.0006327307662878217,-119584.57436890314,34829
269,201909,702,9,5 7 9 11 15 16 21 26 27,0.0004507942269831626,-120037.28736274499,34988
270,201910,704,8,5 7 11 15 16 21 26 27,0.0005541555803414566,-120694.93695651258,35125
271,201911,727,11,2 7 8 9 11 15 16 21 24 26 27,0.0001868105541307495,-120403.77285276356,35280
272,201912,756,11,2 6 7 8 9 11 15 21 24 26 27,0.00018788151666493679,-120379.53520280668,35446
273,201913,754,11,6 7 8 9 11 15 19 21 24 26 27,0.00015241038250565414,-120882.90853972346,35624
274,201914,781,9,6 7 8 11 15 21 24 26 27,0.0003652637297815805,-121080.14444970651,35790
275,201915,813,10,6 7 8 11 15 19 21 24 26 27,0.00023055152126983403,-120114.49128918521,35972
276,201916,787,10,6 7 8 11 15 16 21 24 26 27,0.00033281379309326337,-121311.64848036802,36153
277,201917,800,11,7 9 11 15 16 19 21 22 24 26 27,9.169801154210264e-05,-122713.93627795957,36310
